岗位名称,薪资待遇,岗位详情,岗位地区,公司福利,公司名称,公司规模,岗位需要技能
Java开发工程师（双休）-年薪60万,20-40K·14薪,3-5年，本科,深圳·南山区·科技园,,系本尔科技,计算机硬件，100-499人,Shell，SQL，Linux，Spring，Hibernate，SVN，GIT
后端开发工程师技术栈,9-14K,1-3年，本科,上海,年终奖，带薪年假，员工旅游，定期体检，五险一金，节日福利，零食下午茶，加班补助，补充医疗保险，全勤奖,九鸽,运营商/增值服务，不需要融资，20-99人,SQL，HTML，后端开发，全栈开发，VUE
服务端开发工程师（java）,18-25K·13薪,3-5年，本科,南京·雨花台区·宁南,五险一金，年终奖，股票期权，带薪年假，节日福利,麦博智能,医疗健康，B轮，20-99人,SQL，分布式技术，网络协议，Spring，Dubbo，MySQL
LAZADA-Java开发工程师-交易链路平台-杭州,23-35K·16薪,3-5年，本科,杭州·余杭区·五常,,深圳市来赞达软件科技,计算机软件，未融资，1000-9999人,后端工程师，Java
CAD/CAX 软件研发工程师,15-30K·13薪,1-3年，本科,合肥·蜀山区·中科大,带薪年假，股票期权，年终奖，五险一金，节日福利,设云科技,计算机软件，A轮，20-99人,Python，软件工程师，后端开发，OpenGL，CUDA
软件研发工程师,11-21K,1-3年，大专,苏州·苏州工业园区·湖东,带薪年假，住房补贴，五险一金，员工旅游，定期体检，交通补助，节日福利，免费班车，年终奖,苏州和事兴,计算机软件，不需要融资，20-99人,.NET，Oracle
研发软件测试工程师,9-10K,经验不限，本科,苏州·昆山市·玉山,定期体检，餐补，五险一金，带薪年假，包吃，员工旅游，加班补助，全勤奖，补充医疗保险，年终奖,仁宝集团,电子/半导体/集成电路，不需要融资,性能测试，功能测试，Windows
嵌入式软件研发工程师,12-24K,经验不限，本科,天津·西青区·侯台,通讯补贴，年终奖，补充医疗保险，加班补助，带薪年假，住房补贴，五险一金，股票期权，餐补，员工旅游，节日福利，定期体检,中电科技(北京)...,计算机软件，未融资，0-20人,驱动开发，嵌入式软件开发，BSP开发，ARM开发，Linux
软件研发工程师（应用引擎方向）,25-40K·14薪,3-5年，学历不限,北京·朝阳区·燕莎,餐补，带薪年假，节日福利，年终奖，住房补贴，定期体检，补充医疗保险，五险一金，意外险，员工旅游，股票期权,图森未来,互联网，已上市，500-999人,Python，数据结构，Linux，Cmake，C++，分布式技术
单片机软件开发工程师,11-20K·14薪,3-5年，学历不限,杭州,年终奖，生日福利，交通补助，带薪年假，五险一金，意外险，节日福利，员工旅游，团建聚餐，高温补贴，通讯补贴，定期体检，餐补,杭州金通科技,智能硬件，已上市，1000-9999人,嵌入式技术，单片机开发
机器人软件架构师,20-35K·15薪,5-10年，硕士,杭州·西湖区·转塘,交通补助，餐补，节日福利，高温补贴，通讯补贴，带薪年假，绩效奖金，生日福利，零食下午茶，员工旅游，五险一金，补充医疗保险，团建聚餐，住房补贴，意外险，年终奖，定期体检,杭州五八智能科技,学术/科研，不需要融资，100-499人,数据结构，多线程，Python，C语言，网络编程，算法基础
单片机软件开发工程师,6-11K,3-5年，大专,东莞,加班补助，年终奖，住房补贴，五险一金，股票期权，餐补，员工旅游，包吃，节日福利，全勤奖，零食下午茶,东莞市鸿拓致科电...,电子/半导体/集成电路，不需要融资,单片机开发，芯片设计，C语言，汇编语言，电子半导体
嵌入式软件开发工程师,11-20K,3-5年，本科,天津·西青区·侯台,生日福利，餐补，五险一金，带薪年假，绩效奖金，年终奖，定期体检，节日福利,恒达文博,移动互联网，B轮，500-999人,C++，STM32，Linux，嵌入式/单片机开发经验，ARM开发
