,岗位名称,薪资待遇,岗位地区,公司福利,公司名称,岗位需要技能,salary1,学历要求,工作经验要求,福利数量,需求技能数量,公司类型,融资情况,公司人数
16,Java高级应用软件开发,20.0,杭州,高温补贴，股票期权，定期体检，年终奖，免费班车，团建聚餐，交通补助，五险一金，餐补，补充医疗保险，免息住房借款，通讯补贴，生日福利，带薪年假,海康威视,Java，中间件，系统架构,12,本科,3-5年,14,3,计算机软件,已上市,10000人以上
17,软件工程师,4.0,襄阳,带薪年假，定期体检，补充医疗保险，员工旅游，年终奖，全勤奖，节日福利,湖北玖誉,Java，.NET，移动开发,12,大专,在校/应届,7,3,地产经纪/中介,未融资,100-499人
18,软件工程师,10.0,昆明,五险一金，绩效奖金，带薪年假，补充医疗保险，年终奖，节日福利，包吃，定期体检,中铝智能铜创科技...,Java,12,本科,1-3年,8,1,计算机服务,未融资,20-99人
19,软件工程师,6.5,桂林,带薪年假，工龄奖，交通补助，通讯补贴，年终奖，定期体检，意外险，五险一金,凯歌科技,Unix，Java，全栈工程师，全栈开发，服务器配置，架构师,12,本科,3-5年,8,6,计算机软件,不需要融资,20-99人
20,软件工程师,9.0,长沙,,泰嘉股份,HTML，PHP，CSS，MySQL，后端开发，WEB开发,12,本科,1-3年,0,6,机械设备/机电/重工,已上市,100-499人
21,c#软件开发工程师/.net软件工程师,16.5,上海,五险一金，加班补助，带薪年假，节日福利，零食下午茶,华规软件软件开发,C#，ASP.NET，MySQL,12,本科,经验不限,5,3,计算机软件,不需要融资,20-99人
22,Sr. Software Engineer Radar软件工程师,15.5,南京,,海拉南京研发中心,C语言,12,本科,3-5年,0,1,汽车零部件,未知,500-999人
23,软件开发工程师|程序开发|前端|架构师,12.5,洛阳,底薪加提成，绩效奖金，年终奖，带薪年假，保底工资，团建聚餐,今捷众创,Vue,12,本科,3-5年,6,1,培训机构,未融资,20-99人
24,广告方向 - java资深开发工程师/架构师,45.0,上海,节日福利，定期体检，年终奖，零食下午茶，员工旅游，免费班车，带薪年假，餐补，五险一金,喜马拉雅,分布式技术，微服务架构，NoSQL，MongoDB，架构师,15,本科,5-10年,9,5,移动互联网,D轮及以上,1000-9999人
25,软件开发工程师,22.5,南昌,加班补助，补充医疗保险，节日福利，零食下午茶，五险一金，定期体检，股票期权，餐补，员工旅游，年终奖,华为,c，c++，软件工程师，初级软件工程师，中级软件工程师,12,本科,经验不限,10,5,计算机软件,不需要融资,10000人以上
26,app软件开发工程师,17.0,北京,,铭嘉科技,Android客户端产品研发，架构设计/优化，Java，Kotlin,12,大专,1-3年,0,4,其他专业服务,未知,0-20人
27,应用软件开发工程师,7.5,台州,,芯韵科技,后端开发，软件工程师，MFC，WPF，VC++，MySQL,12,大专,5-10年,0,6,电子/半导体/集成电路,未知,0-20人
28,web/Java软件开发工程师,10.5,北京,生日福利，年终奖，五险一金，员工旅游，定期体检，带薪年假，节日福利,中科信利,前端开发,12,本科,1-3年,7,1,计算机软件,不需要融资,100-499人
29,软件开发工程师,15.5,上海,节日福利，五险一金，员工旅游，免费班车，年终奖，定期体检，带薪年假，股票期权，餐补，补充医疗保险，公租房,上海联影,Java，JavaScript，HTML，CSS，软件工程师,15,本科,经验不限,11,5,医疗设备/器械,B轮,1000-9999人
30,软件开发工程师,37.5,北京,员工旅游，节日福利，五险一金，补充医疗保险，加班补助，定期体检，餐补，股票期权，零食下午茶，年终奖,华为,C，Go，C++，Linux，软件工程师，计算机软件，后端开发,12,本科,经验不限,10,7,计算机软件,不需要融资,10000人以上
31,控制软件开发工程师,10.0,深圳,加班补助，员工旅游，节日福利，定期体检，五险一金，年终奖，带薪年假，股票期权,富泰华工业,充电桩，KEIL，IAR,13,本科,3-5年,8,3,互联网,已上市,10000人以上
32,DSP软件开发工程师,3.5,杭州,员工旅游，餐补，带薪年假，年终奖，五险一金，通讯补贴，定期体检，加班补助，节日福利，补充医疗保险，交通补助，零食下午茶,诺基亚浙江分公司,5G，C++,12,硕士,经验不限,12,2,通信/网络设备,已上市,10000人以上
33,软件开发工程师,26.5,上海,定期体检，五险一金，补充医疗保险，零食下午茶，加班补助，股票期权，餐补，年终奖，节日福利，员工旅游,华为,Java，C/C++，后端开发经验,16,本科,经验不限,10,3,计算机软件,不需要融资,10000人以上
34,软件开发工程师,7.5,滁州,免费班车，餐补，员工旅游，五险一金，定期体检，带薪年假，节日福利，全勤奖,扬子空调,单片机开发，电路设计，ARM开发，驱动开发,12,本科,3-5年,8,4,家具/家电/家居,未融资,1000-9999人
35,软件开发工程师,12.5,大连,通讯补贴，带薪年假，员工旅游，股票期权，定期体检，五险一金，补充医疗保险，加班补助，餐补,恒河智谷,Python，Java，Oracle，数据结构，ThinkPHP，软件工程师,12,大专,3-5年,9,6,电力/热力/燃气/水利,未融资,20-99人
36,软件开发工程师,12.5,苏州,,苏州天脉,系统开发,12,大专,1-3年,0,1,仪器仪表/工业自动化,未知,1000-9999人
37,软件开发工程师,22.5,南京,定期体检，零食下午茶，餐补，补充医疗保险，加班补助，五险一金，股票期权，员工旅游，年终奖，节日福利,华为,数据开发，数据仓库，Java，Python,12,本科,经验不限,10,4,计算机软件,不需要融资,10000人以上
38,软件开发工程师,17.0,常州,五险一金，交通补助，团建聚餐，带薪年假，年终奖，餐补，通讯补贴,常州仁迈生物,C#，MySQL，C#开发经验，计算机相关专业，.NET开发经验,13,本科,1-3年,7,5,医疗设备/器械,未知,0-20人
39,软件开发工程师,16.5,青岛,零食下午茶，带薪年假，五险一金，交通补助，餐补，节日福利，股票期权，定期体检,海信视像科技,Java，C++，Android，Framework，架构师,13,本科,3-5年,8,5,电子/半导体/集成电路,已上市,未知
40,高级软件开发测试工程师,19.0,深圳,团建聚餐，定期体检，节日福利，意外险，免费班车，五险一金，年终奖，员工旅游，带薪年假，补充医疗保险，法定节假日三薪,奥兰若科技,C#，上位机，开发，测试，自动化,13,本科,5-10年,11,5,电子/半导体/集成电路,已上市,未知
41,C#软件开发工程师,8.5,成都,年终奖，五险一金，有无线网,北京华亿,C#，C#开发经验，.NET，Winform，Windows，WPF,13,本科,1-3年,3,6,计算机服务,不需要融资,20-99人
42,高级软件开发工程师,22.5,上海,定期体检，五险一金,上海可耐德智能科技,C++，计算机相关专业，Linux开发/部署经验,12,本科,1-3年,2,3,智能硬件,未知,0-20人
43,高级软件开发工程师,16.5,杭州,交通补助，节日福利，零食下午茶，定期体检，年终奖，股票期权，五险一金，带薪年假，补充医疗保险，通讯补贴，员工旅游，餐补,海康威视,C++，C语言，计算机相关专业，嵌入式软件,15,本科,1-3年,12,4,智能硬件,已上市,10000人以上
44,Android软件开发工程师,8.5,上海,年终奖，五险一金，包吃,凯士电子,Android客户端产品研发，研发流程优化，Java,12,大专,经验不限,3,3,仪器仪表/工业自动化,未融资,100-499人
45,Linux C 软件开发工程师,22.5,北京,生日福利，免费工装，员工旅游，团建聚餐，定期体检，五险一金，带薪年假，高温补贴，年终奖，有无线网，绩效奖金，股票期权,华来科技,Linux，ipc，系统集成技术，C语言，嵌入式软件开发,12,本科,1-3年,12,5,智能硬件,D轮及以上,100-499人
46,ios软件开发工程师,18.5,南京,股票期权，通讯补贴，零食下午茶，补充医疗保险，定期体检，交通补助，年终奖，节日福利，带薪年假，免费班车，五险一金，餐补,苏宁IT,IOS，移动端,12,本科,5-10年,12,2,互联网,已上市,10000人以上
47,高级软件开发工程师（后端）,20.5,昆明,五险一金,空间云,Python，SQL，微服务架构，网络编程，数据结构，NoSQL,12,学历不限,10年以上,1,6,计算机软件,不需要融资,20-99人
48,C#软件开发工程师,10.5,深圳,全勤奖，员工旅游，节日福利，五险一金，加班补助,SFM,JavaScript，.NET，多线程，MVC开发，网络编程，Winform,12,大专,1-3年,5,6,电子/半导体/集成电路,未融资,100-499人
49,软件开发工程师,17.5,深圳,年终奖，住房补贴，包吃，带薪年假，五险一金，交通补助,深圳精纬视,WPF，opencvshar，prism,12,大专,1-3年,6,3,仪器仪表/工业自动化,未融资,20-99人
50,软件开发工程师,25.0,深圳,股票期权，零食下午茶，五险一金，年终奖,深圳纳百信息技术,Linux，windows，GitHub开源项目，机器人联合控制,13,本科,5-10年,4,4,智能硬件,A轮,20-99人
51,QT高级软件开发工程师,32.5,无锡,节日福利，全勤奖，通讯补贴，员工旅游，补充医疗保险，带薪年假，加班补助，包吃，五险一金，年终奖,恩梯科技,QT,13,本科,3-5年,10,1,仪器仪表/工业自动化,未融资,100-499人
52,软件开发工程师,12.5,青岛,五险一金，补充医疗保险，交通补助，带薪年假，年终奖，加班补助，餐补，免费班车，定期体检，住房补贴，节日福利,海信网络科技,Web前端，.NET，C#,12,本科,3-5年,11,3,计算机软件,不需要融资,1000-9999人
53,软件开发工程师,25.0,上海,,visteon,BSP开发，Android，C++，嵌入式技术，计算机软件，汽车,12,本科,5-10年,0,6,汽车零部件,未知,100-499人
54,C++软件开发工程师（QT）,30.0,苏州,加班补助，补充医疗保险，带薪年假，年终奖，员工旅游，节日福利，零食下午茶，五险一金，餐补，定期体检,珂晶达,C++，QT,12,本科,5-10年,10,2,电子/半导体/集成电路,A轮,100-499人
55,软件开发工程师,15.5,长沙,年终奖，包吃，免费班车，股票期权，带薪年假，五险一金，定期体检，通讯补贴,中联重科,C++，C语言，计算机相关专业，C++服务端开发经验，PLC,16,本科,3-5年,8,5,机械设备/机电/重工,已上市,10000人以上
56,软件开发工程师,17.5,上海,股票期权，年终奖，定期体检，五险一金,春景科技,C/C++，Linux,12,本科,1-3年,4,2,计算机软件,未融资,0-20人
57,PON 软件开发工程师,16.0,深圳,,深圳市智路由科技,C语言，GPON，Linux开发，计算机专业,12,本科,1-3年,0,4,通信/网络设备,未知,100-499人
58,视频应用软件开发工程师,8.0,上海,五险一金，餐补，包吃，年终奖，节日福利，股票期权，零食下午茶，补充医疗保险，带薪年假，定期体检，员工旅游,慧国(上海)软件...,.NET，多线程，Socket技术，数据结构，Winform，WPF,12,硕士,经验不限,11,6,计算机软件,已上市,1000-9999人
59,Qt应用软件开发工程师,12.5,广州,员工旅游，补充医疗保险，包吃，年终奖，免费班车，交通补助，通讯补贴，股票期权，餐补，五险一金，零食下午茶，定期体检，节日福利，住房补贴，带薪年假,广州视臻,C/C++，Qt,12,本科,1-3年,15,2,智能硬件,未融资,500-999人
60,高级C++软件开发工程师,37.5,深圳,海外工作，零食下午茶，年终奖，饭补，带薪年假，学习进修，股票期权，餐补，节日福利，健身房，定期体检，五险一金,海柔创新科技有限公司,数据结构，机器人，高级软件工程师，后端开发,15,本科,3-5年,12,4,计算机软件,D轮及以上,1000-9999人
61,C#软件开发工程师,10.5,泉州,五险一金，年终奖，节日福利，环境很不错,财智信息科技,.NET，C/C++，Python,12,本科,3-5年,4,3,信息安全,不需要融资,0-20人
62,应用软件开发工程师,22.5,广州,五险一金，带薪年假，零食下午茶，年终奖，节日福利，幸福计划，餐补，员工旅游，定期体检，加班补助,碧桂园,C++，Linux，Android，视觉图像算法,15,本科,5-10年,10,4,房地产开发,不需要融资,100-499人
63,媒体软件开发专家/工程师,41.5,上海,节日福利，定期体检，股票期权，零食下午茶，年终奖，带薪年假，补充医疗保险，五险一金，通讯补贴,寒武纪行歌,嵌入式技术，Linux，ARM开发，音视频编解码，流媒体技术,13,本科,5-10年,9,5,电子/半导体/集成电路,A轮,100-499人
64,高级软件开发工程师,17.5,东莞,带薪年假，员工旅游，股票期权，节日福利，五险一金，全勤奖，包吃，年终奖,思泉新材料,泛微OA系统开发，ERP/MES/WMS系统，金蝶云星空二次开发,12,大专,1-3年,8,3,原材料及加工/模具,未融资,100-499人
65,电子软件开发工程师,9.5,漳州,年终奖，五险一金，带薪年假,蒙发利,单片机开发，物联网,13,本科,3-5年,3,2,仪器仪表/工业自动化,未知,1000-9999人
66,ARM软件开发工程师,22.5,上海,零食下午茶，定期体检，带薪年假，五险一金，餐补，节日福利，员工旅游,柏飞电子,Linux,12,本科,经验不限,7,1,计算机软件,不需要融资,100-499人
67,C++软件开发工程师,9.5,武汉,,地大坤迪,C++，计算机相关专业，C++服务端开发经验，地质及相关,12,本科,1-3年,0,4,计算机软件,未知,100-499人
68,.NET软件开发工程师,7.5,德阳,五险一金，补充医疗保险，带薪年假，项目奖金，交通补助，通讯补贴，餐补，积分奖励，生日礼物，节日福利，零食下午茶，员工旅游,大宇信息,.NET，.NET开发经验,12,大专,1-3年,12,2,计算机软件,不需要融资,20-99人
69,qt软件开发工程师,3.5,深圳,绩效奖金，五险一金,千层智能,C++，Python，计算机相关专业，Qt项目开发经验,12,大专,经验不限,2,4,计算机软件,未知,0-20人
70,电子软件开发工程师,15.5,广州,生日福利，住房补贴，包吃，宿舍有空调，包住，节日福利，全勤奖，工龄奖，带薪年假，绩效奖金，五险一金,澳兰斯健康,电子相关专业，单片机设计经验,12,大专,3-5年,11,2,家具/家电/家居,未融资,500-999人
71,专网通信应用软件开发工程师,12.5,深圳,员工旅游，全勤奖，通讯补贴，五险一金，节日福利,中瑞科,数据结构，网络协议，Socket技术，Linux，STL，Windows,12,本科,1-3年,5,6,通信/网络设备,未融资,100-499人
72,QT/C++软件开发工程师,19.0,南京,全勤奖，节日福利，员工旅游，加班补助，年终奖,胜太电力,C++，Qt项目开发经验，QT，游戏引擎，多线程，STL，MFC,12,大专,1-3年,5,7,电力/热力/燃气/水利,未知,20-99人
73,Android framework 软件开发工程师,21.5,大连,绩效奖金，七险一金，补充医疗保险，年终奖，定期体检，子女福利，通讯补贴，五险一金，餐补，带薪年假，节日福利,亿咖通科技ECARX,Android开发经验，Java，C++，C，AndroidStudio,15,本科,5-10年,11,5,互联网,已上市,1000-9999人
74,流媒体软件开发高级工程师,26.5,上海,五险一金，年终奖，带薪年假，员工旅游,韬安,C++，音视频编解码，流媒体技术，golang，微服务架构,12,本科,3-5年,4,5,计算机软件,不需要融资,20-99人
75,.net开发软件工程师,10.0,上海,节日福利，年终奖，餐补，五险一金，定期体检，员工旅游，股票期权，通讯补贴，带薪年假,斐酷PHICOOL,.NET，.NET Core，C#，.NET开发经验,12,本科,3-5年,9,4,智能硬件,天使轮,20-99人
76,电机控制器底层软件开发工程师,10.5,北京,通讯补贴，团建聚餐，节日福利，包吃包住，包吃，五险一金，股票期权，绩效奖金，餐补，生日福利，包住，带薪年假，宿舍有空调，年终奖,宏瑞汽车,ARM开发，C语言，C++，汽车，单片机开发，底层驱动,12,本科,1-3年,14,6,汽车生产,A轮,500-999人
77,中/高级嵌入式开发软件工程师,27.5,北京,七险一金，补充医疗保险，零食下午茶，定期体检，加班补助，五险一金，员工旅游，带薪年假，节日福利,汉朔科技股份有限...,C语言，嵌入式技术，Linux，FreeRTOS，单片机开发,12,本科,3-5年,9,5,智能硬件,C轮,500-999人
78,软件开发,4.0,邢台,,叶瑞,C/C++，数据采集,12,大专,1-3年,0,2,电子商务,未知,20-99人
79,C#软件开发,12.5,东莞,带薪年假，包吃，零食下午茶，员工旅游，年终奖，包住，全勤奖，节日福利,尚夏网络,C#，SQL Server，C#开发经验，.NET开发经验，DEV控件,12,大专,3-5年,8,5,计算机软件,不需要融资,20-99人
80,软件开发,7.5,厦门,,光达信,C，STM32开发，ARM开发，通信相关专业,12,本科,1-3年,0,4,电子/半导体/集成电路,未知,0-20人
81,软件开发程序员,5.5,遵义,加班补助，通讯补贴，五险一金，全勤奖，员工旅游，带薪年假，节日福利,永恒光,PHP，Python，Java，计算机相关专业，PHP开发经验,12,大专,1-3年,7,5,互联网,不需要融资,20-99人
82,软件开发经理,50.0,上海,,价值谷科技,网络协议，STL，SVN,14,本科,5-10年,0,3,电子/半导体/集成电路,未知,0-20人
83,软件开发实习生,4.0,宁波,节日福利，餐补，员工旅游，交通补助，定期体检，带薪年假，年终奖，补充医疗保险，通讯补贴，包吃，住房补贴，五险一金，零食下午茶,中控微电子,C++，Python，计算机相关专业，PyQt，wxPython，Qt,12,本科,经验不限,13,6,电子/半导体/集成电路,未融资,20-99人
84,软件开发管培生,16.0,上海,节日福利，餐补，通讯补贴，定期体检，团建聚餐，股票期权，年终奖，生日福利，全勤奖，零食下午茶，带薪年假，五险一金,清鹤科技,C语言，Java，Python，计算机相关专业，C语言开发经验,12,本科,在校/应届,12,5,互联网,已上市,100-499人
85,软件开发技术总监,17.5,南宁,定期体检，节日福利，五险一金，员工旅游，餐补,申能达,Java，HTML，CSS，微服务架构，Socket技术，数据结构,12,本科,3-5年,5,6,电子商务,未融资,100-499人
86,市场开拓专员-物联网、智慧建造、软件开发,8.0,深圳,五险一金，定期体检，年终奖，带薪年假，员工旅游，节日福利，零食下午茶,联深科技发展有限公司,销售岗，客户开发，商户合作，互联网/科技，其他,13,大专,1-3年,7,5,电子/半导体/集成电路,未融资,20-99人
87,.net 软件工程师,11.5,武汉,员工旅游，专项礼金，餐补，包吃，定期体检，节日福利，生日福利，股票期权，通讯补贴，五险一金，年终奖，带薪年假,利德测控,.NET，C#，Vue/React/Angular，.NET开发经验,12,大专,1-3年,12,4,计算机软件,未融资,100-499人
88,【外资】RoR 软件工程师,17.0,上海,,凯业必达,ruby on rails，php，aws,13,本科,1-3年,0,3,计算机软件,未知,0-20人
89,软件工程师 汽车电子软件工程师,12.5,中山,五险一金，工龄奖，通讯补贴，年终奖，员工旅游，补充医疗保险，交通补助，全勤奖，节日福利，零食下午茶，底薪加提成，餐补，住房补贴,能通电子,C++，Java，Python，计算机相关专业,12,大专,3-5年,13,4,贸易/进出口,未融资,100-499人
90,软件工程师双休,17.5,合肥,加班补助，定期体检，五险一金，员工旅游，节日福利，零食下午茶，带薪年假，全勤奖，年终奖，补充医疗保险,合肥吉锂能电子,PCB设计，版图设计工程师，示波器，AD，软件工程师,12,大专,1-3年,10,5,计算机服务,未知,20-99人
91,软件工程师,22.5,北京,五险一金，年终奖，通讯补贴，带薪年假，股票期权,聚创造,Android客户端产品研发，架构设计/优化，Java，Kotlin,12,本科,经验不限,5,4,互联网金融,天使轮,0-20人
92,软件工程师,16.0,珠海,五险一金，年终奖，带薪年假，节日福利，加班补助，交通补助，通讯补贴,西米科技,C语言,13,本科,3-5年,7,1,电子/半导体/集成电路,未融资,20-99人
93,软件工程师,12.5,苏州,年终奖，节日福利，股票期权，带薪年假，员工旅游，餐补，补充医疗保险，通讯补贴，五险一金，定期体检,高视科技,QT，OpenCV,12,本科,经验不限,10,2,计算机硬件,D轮及以上,100-499人
94,软件工程师,9.0,连云港,底薪加提成，节假日加班费，高温补贴，通讯补贴，生日福利，年终奖，全勤奖，有无线网，工龄奖，保底工资，绩效奖金，补充医疗保险，免费工装，意外险，员工旅游，节日福利，包吃,君昱合流体设备科技,C#，SQL Server，C#开发经验,12,本科,3-5年,17,3,石油/石化,未知,0-20人
95,软件工程师,12.5,合肥,节日福利，餐补，加班补助，股票期权，年终奖,瞭望科技,C++，Java，计算机相关专业,13,本科,3-5年,5,3,电子/半导体/集成电路,天使轮,20-99人
96,软件工程师,13.5,深圳,五险一金，定期体检，全勤奖，股票期权，带薪年假，员工旅游，节日福利,五核合科技,Python，Shell，嵌入式技术，网络协议，数据结构,12,本科,1-3年,7,5,电子/半导体/集成电路,不需要融资,0-20人
97,软件工程师,22.5,嘉兴,节日福利，餐补，加班补助，五险一金，带薪年假,浙江辛帝亚,C#,12,硕士,3-5年,5,1,电子/半导体/集成电路,未融资,20-99人
98,软件工程师,9.5,广州,,大凌实业,后端开发,12,本科,1年以内,0,1,电子/半导体/集成电路,已上市,100-499人
99,应用软件工程师,19.5,北京,带薪年假，餐补，加班补助，全勤奖，交通补助，住房补贴，免费工装，五险一金，绩效奖金，带薪病假,擎锋科技,C++，Linux,12,本科,3-5年,10,2,智能硬件,未融资,20-99人
100,C++软件工程师,12.5,广州,五险一金，交通补助，零食下午茶，带薪年假，通讯补贴，加班补助，节日福利，年终奖,万物智联,Linux，QT，嵌入式技术，网络协议，网络编程，软件工程师,12,大专,3-5年,8,6,计算机服务,未融资,20-99人
101,.NET软件工程师,6.5,长沙,,巨龙网络,ASP，.NET，HTML5,12,大专,1-3年,0,3,移动互联网,未融资,0-20人
102,C#软件工程师,8.5,青岛,团建聚餐，节日福利，年终奖，零食下午茶，五险,美谷弥佳,C#，SQL Server，ASP.NET，C#开发经验，计算机相关专业,13,大专,1-3年,5,5,互联网,天使轮,0-20人
103,c++软件工程师,22.5,武汉,五险一金，年终奖，加班补助，住房补贴，带薪年假，零食下午茶,拾光熵简,C++，C语言，计算机相关专业，C++服务端开发经验,13,本科,3-5年,6,4,计算机软件,未融资,20-99人
104,.NET软件工程师,6.0,石家庄,全勤奖，节日福利，五险一金，加班补助,网新科技集团,Javascript，.NET，C#,12,本科,1年以内,4,3,互联网,不需要融资,20-99人
105,labview软件工程师,7.5,东营,高温补贴，年终奖，加班补助，节假日加班费，五险一金，法定节假日三薪，交通补助，通讯补贴，免费工装，有无线网,双益电气,labview，测试开发,13,本科,1-3年,10,2,仪器仪表/工业自动化,不需要融资,20-99人
106,软件工程师,10.5,成都,节日福利，五险一金，加班补助，零食下午茶,奇芯微电子,QT，MFC,12,本科,1-3年,4,2,电子/半导体/集成电路,未知,20-99人
107,软件工程师,4.0,南京,餐补，带薪年假，零食下午茶，加班补助，股票期权，包吃，交通补助，住房补贴，节日福利，补充医疗保险，定期体检，员工旅游，五险一金，年终奖,勤泽文化,Unity3D，计算机/软件工程相关专业，软件开发经验,12,大专,1年以内,14,3,智能硬件,未融资,20-99人
108,软件工程师,30.0,北京,节日福利，补充医疗保险，定期体检，股票期权，12%公积金，带薪年假，五险一金，餐补，年终奖,小米,架构设计/优化，研发流程优化，Java，C，C++,12,本科,3-5年,9,5,互联网,已上市,10000人以上
109,软件工程师,8.0,宁德,,岭阳电子,C，ARM开发，计算机相关专业，嵌入式/单片机开发经验,12,大专,1-3年,0,4,电子/半导体/集成电路,未知,20-99人
110,软件工程师,7.5,长沙,节日福利，年终奖，带薪年假，零食下午茶，五险一金,湖南军威,嵌入式技术,12,本科,1-3年,5,1,计算机软件,未融资,20-99人
111,软件工程师,12.5,肇庆,餐补，年终奖，定期体检，带薪年假，股票期权，包吃，五险一金，通讯补贴，员工旅游，节日福利,合普动力,matlab，simulink,12,本科,5-10年,10,2,汽车零部件,未融资,500-999人
112,软件工程师助理,5.5,常州,周年纪念奖励，团建聚餐，年终奖，员工旅游，零食下午茶，定期体检，五险一金，节日福利，带薪年假，通讯补贴，餐补，交通补助，有无线网,磐石电气,C++，C#，Java，C语言,12,大专,经验不限,13,4,智能硬件,不需要融资,20-99人
113,控制软件工程师,27.5,杭州,五险一金，节日福利，带薪年假，年终奖,径卫视觉,DSP开发经验,12,本科,5-10年,4,1,智能硬件,B轮,100-499人
114,Linux软件工程师,26.5,青岛,定期体检，节日福利，五险一金，免费班车，年终奖，员工旅游，带薪年假,伟达智慧科技,C++，Linux，软件工程师，网络协议，多线程,12,本科,经验不限,7,5,互联网,天使轮,100-499人
115,框架软件工程师,20.0,苏州,八险一金，年终奖，意外险，团建聚餐，定期体检，补充医疗保险，餐补，领导nice，零食下午茶，带薪年假，节日福利，员工旅游，五险一金,阿丘科技,C++，Winform，WPF，架构师，人工智能,14,本科,3-5年,13,5,企业服务,C轮,500-999人
116,软件工程师要求,10.5,武汉,住房补贴，员工旅游，团建聚餐，包住，节日福利，交通补助，五险一金，年终奖，有无线网，宿舍有空调，法定节假日三薪,匾福光电,C++,12,本科,经验不限,11,1,通信/网络设备,未融资,20-99人
117,软件工程师/Labview,9.5,深圳,五险一金，定期体检，带薪年假，餐补，节日福利,誉辰自动化,Labview,12,本科,经验不限,5,1,其他行业,未融资,1000-9999人
118,电气软件工程师,11.5,上海,,锦寻,PLC工程师，电控工程师,12,中专/中技,3-5年,0,2,机械设备/机电/重工,未知,0-20人
